name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,versatility,release_clause,talent,dominant_position,traits
D. Ball,23,2/8/1995,185,75,England,Queens Park Rangers,65,72,700000,2000,CDM;RB,Right,1,2,2,3,2,1500000,Ordinary,RES,Good
D. van Bruggen,23,18/3/1996,185,79,Netherlands,VVV-Venlo,65,72,675000,2000,CB;CDM,Right,1,3,2,5,2,1100000,Ordinary,SUB,Good
H. Matynia,23,4/11/1995,182,73,Poland,Pogon Szczecin,65,72,675000,2000,LB,Right,1,4,2,5,1,1000000,Ordinary,SUB,Inflexible
M. Latour,23,16/9/1995,175,66,France,FC Chambly Oise,65,72,750000,2000,LW;RW;ST,Left,1,3,3,8,3,1500000,Ordinary,SUB,Selfish
C. Colkett,22,4/9/1996,176,74,England,Östersunds FK,65,72,750000,2000,CM;CAM,Left,1,3,3,5,2,1100000,Ordinary,RCM,Beat_Offside_Trap;Leadership;Finesse_Shot
B. Barry,23,15/4/1996,182,73,Germany,KFC Uerdingen 05,65,72,750000,2000,CAM;RM,Right,1,3,3,5,2,0,Ordinary,SUB,Good
Clavería,23,1/4/1996,177,70,Spain,CF Fuenlabrada,65,72,700000,2000,CDM;CM,Right,1,3,2,6,2,1200000,Ordinary,RCM,Good
E. Yao,23,20/1/1996,182,76,Ivory Coast,FC Lugano,65,72,675000,2000,CB;RB,Right,1,3,2,5,2,1100000,Ordinary,SUB,Good
R. Amin,23,8/1/1996,179,75,Netherlands,Östersunds FK,65,72,750000,2000,CM,Right,1,4,3,2,1,1100000,Ordinary,LCM,Leadership;Finesse_Shot
G. Dulanto,23,5/9/1995,194,89,Peru,Boavista FC,65,72,675000,2000,CB,Right,1,3,2,5,1,1600000,Strength,RES,Good
L. Putaro,22,7/1/1997,187,77,Germany,Eintracht Braunschweig,65,72,750000,2000,LW;RW,Left,1,3,3,5,2,1200000,Ordinary,LM,Crowd_Favourite
Josema,23,6/6/1996,184,81,Spain,Extremadura UD,65,72,675000,2000,CB;LB,Right,1,3,2,5,2,1200000,Ordinary,SUB,Good
K. Ford,23,26/1/1996,188,84,United States,Colorado Rapids,65,72,675000,2000,CB;RB,Right,1,2,2,6,2,1100000,Ordinary,SUB,Good
T. Dekker,21,27/3/1998,184,78,Netherlands,VVV-Venlo,65,72,675000,2000,RB,Right,1,3,2,5,1,1100000,Ordinary,SUB,Good
Guridi,24,28/2/1995,179,64,Spain,CD Mirandés,65,72,750000,2000,CM;CAM,Left,1,3,3,5,2,0,Ordinary,LCM,Good
M. Costly,23,20/11/1995,183,76,Germany,1. FC Magdeburg,65,72,750000,2000,RM;RW;LM,Right,1,3,3,5,3,1200000,Ordinary,RM,Early_Crosser
D. Cornelius,21,25/11/1997,187,86,Canada,Vancouver Whitecaps FC,65,72,700000,2000,CB;LB,Left,1,3,2,6,2,1200000,Ordinary,LCB,Good
C. Kühlwetter,23,21/4/1996,180,75,Germany,1. FC Kaiserslautern,65,72,775000,2000,ST;LM;LW,Right,1,3,2,8,3,1300000,Ordinary,RCM,Argues_with_Officials
Ruan Teles,21,23/10/1997,172,65,Brazil,Clube Sport Marítimo,65,72,775000,2000,ST,Right,1,3,3,7,1,1800000,Ordinary,RES,Crowd_Favourite
M. Diaby,22,3/9/1996,197,77,France,FC Paços de Ferreira,65,72,700000,2000,CDM;CM,Right,1,2,2,5,2,1600000,Ordinary,RDM,Good
E. Lombardo,22,16/4/1997,174,69,France,Racing Santander,65,72,750000,2000,CAM;LM;RM,Right,1,2,3,8,3,0,Ordinary,LM,Good
Henrique Gomes,23,30/11/1995,185,78,Portugal,Gil Vicente FC,65,72,675000,2000,LB,Left,1,3,2,5,1,1500000,Ordinary,RES,Good
S. Kersten,21,30/1/1998,191,79,Netherlands,PEC Zwolle,65,72,700000,2000,CB,Right,1,3,2,5,1,1200000,Ordinary,SUB,Good
B. Aloé,25,29/6/1994,184,77,France,Valenciennes FC,65,71,650000,2000,CB,Right,1,3,2,5,1,1300000,Ordinary,LCB,Good
C. Camps,23,30/11/1995,180,75,Northern Ireland,Rochdale,65,71,725000,2000,CM;CDM,Right,1,3,2,5,2,1400000,Ordinary,CAM,Long_Throw-in;Argues_with_Officials
J. Karlström,24,21/6/1995,182,81,Sweden,Djurgårdens IF,65,71,725000,2000,CM,Right,1,3,2,8,1,1100000,Ordinary,CM,Good
S. Tarashaj,24,7/2/1995,176,82,Switzerland,FC Emmen,65,71,750000,2000,CAM;LM,Right,1,4,3,4,2,0,Ordinary,SUB,Beat_Offside_Trap
A. Tahiri,24,15/5/1995,179,61,Morocco,RKC Waalwijk,65,71,750000,2000,CAM;CM;LW,Right,1,3,3,5,3,1200000,Ordinary,LCM,Good
J. Hamilton,23,17/3/1996,183,83,Canada,Columbus Crew SC,65,71,750000,2000,ST,Left,1,3,2,7,1,1300000,Ordinary,SUB,Good
V. Slivka,24,29/4/1995,190,84,Lithuania,Hibernian,65,71,725000,2000,CM,Right,1,3,3,5,1,1400000,Ordinary,SUB,Good
T. James,23,15/4/1996,180,75,Wales,Hibernian,65,71,650000,2000,RB;LB,Right,1,3,2,6,2,1300000,Ordinary,RES,Inflexible;Long_Throw-in
L. Coyle,23,15/10/1995,173,67,England,Fleetwood Town,65,71,650000,2000,RB,Right,1,3,2,8,1,0,Ordinary,RB,Good
Marco,24,29/1/1995,185,77,Portugal,FC Paços de Ferreira,65,71,550000,2000,GK,Right,1,1,1,5,1,1200000,Ordinary,RES,Good
L. Klemenz,23,24/9/1995,191,88,Poland,Wisla Kraków,65,71,675000,2000,CB,Right,1,3,2,2,1,1000000,Ordinary,LCB,Good
Y. Rahmani,24,13/5/1995,179,73,France,UD Almería,65,71,750000,2000,LM;LW,Left,1,3,3,7,2,1300000,Ordinary,SUB,Good
Lucas Ahijado,24,30/1/1995,178,68,Spain,Real Oviedo,65,71,650000,2000,RB;RM,Right,1,3,3,8,2,1200000,Ordinary,SUB,Good
Isi,24,27/12/1994,169,69,Spain,SD Ponferradina,65,71,750000,2000,RM;LM,Right,1,3,2,5,2,1300000,Ordinary,RM,Early_Crosser
Gonçalo Tavares,22,16/5/1997,180,72,Portugal,Os Belenenses,65,71,650000,2000,RB,Right,1,3,2,6,1,1500000,Ordinary,RES,Good
G. Hamer,22,24/6/1997,168,61,Netherlands,PEC Zwolle,65,71,650000,2000,RB;CDM,Right,1,3,3,8,2,1100000,Ordinary,RB,Argues_with_Officials
R. Scheu,24,16/2/1995,178,74,Germany,SV Sandhausen,65,71,750000,2000,RM;RW;ST,Right,1,4,3,9,3,1400000,Engine,RES,Early_Crosser
Joca,23,30/1/1996,168,63,Portugal,Rio Ave FC,65,71,750000,2000,CAM;RW,Right,1,3,3,5,2,1700000,Acrobat,SUB,Good
N. Sessa,23,23/3/1996,172,67,Germany,FC Erzgebirge Aue,65,71,750000,2000,CAM;ST,Left,1,2,3,4,2,1300000,Ordinary,SUB,Good
M. Kolar,24,31/5/1995,185,77,Croatia,FC Emmen,65,71,750000,2000,ST;RM,Right,1,3,2,8,2,1200000,Ordinary,ST,Good
G. Lillard,23,5/12/1995,193,88,United States,Chicago Fire,65,71,675000,2000,CB,Left,1,4,2,5,1,1100000,Ordinary,SUB,Good
F. Castro,24,22/1/1995,178,67,Uruguay,CD O'Higgins,65,71,750000,2000,RM;RW,Right,1,3,2,4,2,1200000,Ordinary,RES,Good
S. Gassama,24,6/5/1995,190,88,Spain,UD Almería,65,71,750000,2000,ST,Right,1,3,2,5,1,1300000,Ordinary,ST,Good
S. Hatanaka,23,25/8/1995,184,80,Japan,Yokohama F. Marinos,65,71,675000,2000,CB,Right,1,3,2,5,1,979000,Ordinary,LCB,Good
R. Hirose,23,23/9/1995,176,68,Japan,Yokohama F. Marinos,65,71,650000,2000,RB;RM;LB,Right,1,3,2,5,3,943000,Ordinary,RB,Good
A. Cairns,26,4/1/1993,183,72,England,Fleetwood Town,65,70,525000,2000,GK,Left,1,3,1,5,1,958000,Ordinary,GK,Good
J. Alnwick,26,17/6/1993,188,82,England,Blackpool,65,70,525000,2000,GK,Left,1,2,1,5,1,0,Ordinary,GK,Good
P. Camara,26,16/1/1993,195,70,Senegal,Grenoble Foot 38,65,70,525000,2000,GK,Right,1,3,1,5,1,958000,Ordinary,SUB,Good
D. Cole,24,10/5/1995,185,73,England,Motherwell,65,70,725000,2000,ST;LW,Right,1,3,2,4,2,0,Speedster,SUB,Good
C. Pym,24,24/4/1995,182,70,England,Peterborough United,65,70,550000,2000,GK,Right,1,4,1,5,1,1000000,Ordinary,GK,Good
B. Jopek,25,24/8/1993,183,77,Germany,Hallescher FC,65,70,700000,2000,CM;CAM,Left,1,2,3,8,2,1100000,Ordinary,LCM,Good
B. Smith,25,9/4/1994,177,70,Australia,Seattle Sounders FC,65,70,625000,2000,LB;LWB,Left,1,3,2,8,2,0,Ordinary,RES,Dives_Into_Tackles;Early_Crosser
S. O'Neill,25,2/9/1993,188,86,United States,Orlando City SC,65,70,650000,2000,CB,Right,1,2,2,5,1,1000000,Ordinary,SUB,Good
S. Mauk,23,12/10/1995,174,64,Australia,Brisbane Roar,65,70,725000,2000,CAM,Right,1,3,3,5,1,961000,Ordinary,LCM,Good
M. Goblet,24,20/11/1994,180,78,Belgium,KSV Cercle Brugge,65,70,550000,2000,GK,Right,1,2,1,5,1,839000,Ordinary,SUB,Diver
C. Tanner,24,27/10/1994,174,66,England,Motherwell,65,70,725000,2000,RM;CAM,Left,1,3,3,5,2,1300000,Ordinary,SUB,Power_Free-Kick;Beat_Offside_Trap
M. Lundemo,25,11/4/1994,189,82,Norway,Rosenborg BK,65,70,700000,2000,CM,Right,1,3,3,5,1,963000,Ordinary,SUB,Power_Free-Kick;Finesse_Shot
Steven Pereira,25,13/4/1994,184,75,Cape Verde,Santa Clara,65,70,650000,2000,CB,Right,1,3,2,5,1,1400000,Ordinary,RES,Good
B. Youssouf,25,11/2/1994,176,74,Comoros,AJ Auxerre,65,70,625000,2000,RB;LB;RM,Right,1,2,2,8,3,1100000,Ordinary,SUB,Good
M. Osei Kwadwo,24,30/5/1995,171,70,Ghana,1. FC Magdeburg,65,70,725000,2000,RM;LM,Right,1,4,3,5,2,1100000,Acrobat,SUB,Crowd_Favourite
D. Dos Santos,22,21/7/1996,176,69,Netherlands,Heracles Almelo,65,70,725000,2000,LM,Right,1,3,4,5,1,1100000,Acrobat,SUB,Injury_Free;Selfish;Crowd_Favourite
D. Baumann,24,24/4/1995,178,82,Germany,FC Würzburger Kickers,65,70,725000,2000,ST;CAM,Right,1,3,3,7,2,1100000,Ordinary,RS,Good
J. van der Lely,23,22/3/1996,177,75,Netherlands,FC Twente,65,70,650000,2000,RB;LB,Right,1,4,3,6,2,1000000,Ordinary,SUB,Good
Jung Won Jin,24,10/8/1994,176,65,Korea Republic,FC Seoul,65,70,700000,2000,CM,Right,1,4,3,8,1,928000,Ordinary,SUB,Good
M. Nalepa,24,24/3/1995,170,74,Poland,Arka Gdynia,65,70,700000,2000,CM;CDM;CAM,Right,1,3,3,9,3,998000,Ordinary,CAM,Good
R. Edwards,23,15/7/1995,175,66,Canada,Chicago Fire,65,70,725000,2000,LM;RM;LB,Left,1,2,3,6,3,1100000,Ordinary,SUB,Good
A. Crognale,24,27/8/1994,196,93,United States,Columbus Crew SC,65,70,650000,2000,CB,Right,1,2,2,3,1,1000000,Ordinary,SUB,Good
F. Hansch,23,22/8/1995,183,76,Germany,Hallescher FC,65,70,725000,2000,ST;RM;RW,Right,1,3,3,5,3,0,Ordinary,SUB,Good
S. Bösel,24,24/10/1994,180,66,Germany,SG Sonnenhof Großaspach,65,70,700000,2000,CM;CDM;RB,Right,1,3,2,9,3,1100000,Engine,RB,Good
Claudio,25,4/9/1993,186,83,Spain,Elche CF,65,70,725000,2000,ST,Left,1,3,2,5,1,1200000,Ordinary,SUB,Good
E. Sosa,23,20/6/1996,170,75,Venezuela,Columbus Crew SC,65,70,725000,2000,CAM,Right,1,3,3,8,1,1100000,Ordinary,SUB,Good
D. Saddiki,22,9/8/1996,179,70,Netherlands,Willem II,65,70,650000,2000,CDM;CM,Right,1,3,2,6,2,991000,Ordinary,RCM,Good
J. Donisa,25,15/1/1994,184,76,France,Clermont Foot 63,65,70,725000,2000,ST,Right,1,3,3,8,1,1300000,Ordinary,SUB,Good
W. Clar,24,27/9/1994,177,70,Paraguay,Boavista FC,65,70,650000,2000,LB,Left,1,2,2,5,1,1400000,Ordinary,RES,Good
A. Abdi,25,20/12/1993,183,73,Tunisia,Paris FC,65,70,625000,2000,LB,Left,1,3,2,8,1,1100000,Ordinary,LB,Good
Iván Márquez,25,9/6/1994,191,80,Spain,Korona Kielce,65,69,625000,2000,CB,Right,1,3,2,5,1,891000,Ordinary,LCB,Good
Guille Donoso,23,8/7/1995,173,65,Spain,SD Ponferradina,65,69,700000,2000,RM,Right,1,3,3,5,1,1100000,Ordinary,SUB,Good
G. Lefebvre,25,13/5/1994,174,63,France,AS Nancy Lorraine,65,69,675000,2000,CM;CDM,Right,1,2,2,6,2,1200000,Ordinary,SUB,Good
M. Hairston,25,23/3/1994,183,71,United States,Houston Dynamo,65,69,625000,2000,RB;RWB;RM,Right,1,3,2,8,3,953000,Ordinary,SUB,Good
T. Thompson,23,15/8/1995,170,71,United States,San Jose Earthquakes,65,69,625000,2000,RB;RM;CM,Right,1,2,4,9,3,984000,Ordinary,RB,Selfish;Crowd_Favourite
J. Hardeveld,24,27/2/1995,184,75,Netherlands,Heracles Almelo,65,69,625000,2000,CB;LB,Left,1,3,2,6,2,953000,Ordinary,SUB,Power_Free-Kick
Lee Myung Jae,25,4/11/1993,182,68,Korea Republic,Ulsan Hyundai FC,65,69,625000,2000,LB,Left,1,3,3,5,1,859000,Ordinary,SUB,Good
Yoon Seung Won,24,11/2/1995,186,74,Korea Republic,FC Seoul,65,69,700000,2000,LW;RM,Left,1,4,3,8,2,928000,Ordinary,SUB,Selfish
Samuel Portugal,25,29/3/1994,188,80,Brazil,Portimonense SC,65,69,525000,2000,GK,Right,1,3,1,5,1,1100000,Ordinary,RES,Good
J. Campbell,26,27/6/1993,188,85,United States,Seattle Sounders FC,65,69,625000,2000,CB,Right,1,3,2,6,1,984000,Ordinary,SUB,Good
Mateus,24,11/9/1994,167,69,Brazil,Yokohama F. Marinos,65,69,700000,2000,LM;RM;ST,Left,1,3,3,7,3,0,Ordinary,LM,Injury_Free;Crowd_Favourite
F. Luckeneder,25,21/3/1994,190,73,Austria,TSV Hartberg,65,69,625000,2000,CB,Left,1,3,2,2,1,0,Ordinary,LCB,Good
B. Moussiti-Oko,24,28/1/1995,184,89,Congo,Le Mans FC,65,69,725000,2000,ST,Right,1,2,2,7,1,1300000,Strength,RS,Good
L. Argudo,23,13/12/1995,175,68,United States,Columbus Crew SC,65,69,700000,2000,LM;RM;CAM,Right,1,4,3,6,3,1100000,Ordinary,LM,Good
T. Puangchan,25,1/9/1993,178,65,Thailand,Oita Trinita,65,69,675000,2000,CM;CDM,Right,1,3,3,5,2,894000,Ordinary,RF,Good
O. Bic,25,23/2/1994,179,75,Romania,Chindia Târgoviste,65,69,625000,2000,CDM;CM,Left,1,2,2,5,2,0,Ordinary,RCM,Good
Sergio Ruiz,24,16/12/1994,171,70,Spain,Racing Santander,65,69,650000,2000,CDM;RB;CM,Right,1,3,2,8,3,1100000,Ordinary,SUB,Good
J. Gaari,25,23/12/1993,181,77,Curacao,RKC Waalwijk,65,69,625000,2000,RB,Right,1,3,2,5,1,953000,Ordinary,RB,Good
R. Janicki,26,5/7/1992,188,79,Poland,Wisla Kraków,65,68,600000,2000,CB,Right,1,2,2,5,1,855000,Ordinary,RCB,Injury_Prone
J. Clark,25,22/9/1993,183,73,England,Accrington Stanley,65,68,675000,2000,RM,Right,1,3,3,8,1,1200000,Acrobat,RM,Good
Z. Alomerovic,28,15/6/1991,187,85,Serbia,Lechia Gdansk,65,68,500000,2000,GK,Right,1,2,1,5,1,713000,Ordinary,SUB,Good
C. Laprevotte,26,4/10/1992,181,73,France,1. FC Magdeburg,65,68,600000,2000,CDM;CM;LM,Right,1,3,2,5,3,915000,Ordinary,RDM,Good
J. Eickmayer,26,11/1/1993,178,71,France,FC Chambly Oise,65,68,600000,2000,CDM;CM,Right,1,3,3,6,2,1100000,Ordinary,LCM,Good
C. Mafla,26,15/1/1993,175,73,Colombia,Atlético Nacional,65,68,600000,2000,LB,Left,1,3,2,8,1,885000,Ordinary,LB,Good
Luís Cortez,25,18/4/1994,174,66,Portugal,Vitória de Setúbal,65,68,675000,2000,CAM;CM,Right,1,2,3,4,2,1500000,Ordinary,RES,Good
O. Mfulu,25,20/3/1994,183,76,DR Congo,Elche CF,65,68,675000,2000,CM;CDM,Right,1,3,2,6,2,1100000,Ordinary,SUB,Good
S. Kind Mikalsen,26,4/5/1993,185,81,Norway,Lillestrøm SK,65,68,600000,2000,LB;LM,Left,1,2,2,8,2,795000,Ordinary,SUB,Long_Passer
E. Miller,26,15/1/1993,183,79,United States,New York City FC,65,68,600000,2000,RB;LB;LWB,Right,1,3,2,6,3,945000,Ordinary,SUB,Good
S. Leuko,25,4/8/1993,173,74,Cameroon,CD Lugo,65,68,600000,2000,RB;LB,Right,1,3,2,5,2,975000,Ordinary,SUB,Diver
B. Vécsei,25,13/7/1993,185,80,Hungary,FC Lugano,65,68,675000,2000,CM,Left,1,3,3,5,1,1000000,Ordinary,SUB,Argues_with_Officials
A. Jackson-Hamel,25,3/8/1993,185,85,Canada,Montreal Impact,65,68,700000,2000,ST,Right,1,3,3,4,1,1100000,Ordinary,SUB,Power_Free-Kick;Selfish;Speed_Dribbler;Giant_Throw-in
S. Ibeagha,27,21/1/1992,188,85,United States,New York City FC,65,68,575000,2000,CB,Right,1,3,2,3,1,906000,Ordinary,RCB,Good
S. Skålevik,26,31/1/1993,180,75,Norway,Sarpsborg 08 FF,65,68,675000,2000,ST,Right,1,3,2,8,1,894000,Ordinary,RS,Good
A. Arroyo,25,13/12/1993,183,82,Panama,Newcastle Jets,65,68,700000,2000,ST,Right,1,3,2,7,1,928000,Ordinary,ST,Good
N. Hansen,24,30/9/1994,178,77,Denmark,Houston Dynamo,65,68,675000,2000,RM,Right,1,3,3,5,1,1000000,Ordinary,RES,Early_Crosser
S. Mai,25,10/12/1993,195,93,Germany,Hallescher FC,65,68,700000,2000,ST;CB;CAM,Right,1,2,2,6,3,1100000,Aerial_Threat;Strength,CB,Good
J. Hernández,26,6/1/1993,182,80,Venezuela,Audax Italiano,65,68,675000,2000,ST,Right,1,3,3,8,1,962000,Ordinary,LS,Good
W. Semedo,25,27/4/1994,185,68,France,Grenoble Foot 38,65,68,675000,2000,LW,Right,1,3,3,5,1,1200000,Ordinary,SUB,Good
S. Condé,26,9/6/1993,193,93,Guinea,La Berrichonne de Châteauroux,65,68,600000,2000,CB,Right,1,2,2,5,1,1100000,Strength,RCB,Good
Y. Suzuki,26,11/9/1992,184,72,Japan,Oita Trinita,65,68,600000,2000,CB,Right,1,3,2,2,1,795000,Ordinary,CB,Diver
U. Bonnet,25,17/9/1993,181,73,France,Rodez Aveyron Football,65,68,700000,2000,ST,Right,1,3,3,9,1,1300000,Ordinary,LS,Good
J. Kempin,26,8/4/1993,185,79,United States,Columbus Crew SC,65,67,475000,2000,GK,Right,1,2,1,5,1,748000,Ordinary,SUB,Good
C. Dunne,26,13/2/1993,188,86,Republic of Ireland,Motherwell,65,67,575000,2000,CB;LB,Left,1,2,2,6,2,1000000,Ordinary,LCB,Good
M. Lampson,29,6/9/1989,191,91,United States,LA Galaxy,65,67,450000,2000,GK,Right,1,2,1,5,1,709000,Ordinary,SUB,Acrobatic_Clearance
A. Winkler,27,26/1/1992,190,84,Germany,SpVgg Unterhaching,65,67,575000,2000,CB;LB,Left,1,3,2,5,2,877000,Ordinary,RCB,Leadership
Sim Sang Min,26,21/5/1993,172,70,Korea Republic,Pohang Steelers,65,67,575000,2000,LB;RB,Left,1,3,3,5,2,762000,Ordinary,LB,Long_Shot_Taker
Kim Yong Hwan,26,25/5/1993,175,67,Korea Republic,Pohang Steelers,65,67,575000,2000,LB;LM;RB,Right,1,4,2,9,3,762000,Ordinary,RB,Good
F. David,26,16/11/1992,180,67,France,FC Chambly Oise,65,67,650000,2000,CAM;ST,Right,1,3,3,8,2,1200000,Ordinary,CAM,Long_Throw-in
Ygor Nogueira,24,27/3/1995,187,82,Brazil,Gil Vicente FC,65,67,600000,2000,CB,Right,1,3,2,5,1,1300000,Ordinary,SUB,Good
R. Gojani,26,19/10/1992,174,71,Sweden,IF Elfsborg,65,67,650000,2000,CM;CDM,Right,1,3,3,5,2,861000,Ordinary,RCM,Good
B. Kallman,28,4/10/1990,188,86,United States,Minnesota United FC,65,67,550000,2000,CB,Right,1,2,2,3,1,866000,Ordinary,SUB,Good
T. Arano,26,20/4/1993,180,72,Japan,Hokkaido Consadole Sapporo,65,67,650000,2000,CM;CAM;CF,Right,1,3,3,5,3,861000,Ordinary,LCM,Good
Lim Chan Wool,24,14/7/1994,176,71,Korea Republic,Jeju United FC,65,67,675000,2000,RW;CAM,Right,1,3,3,8,2,894000,Ordinary,SUB,Good
S. Jakubiak,26,21/6/1993,175,67,Germany,Heracles Almelo,65,67,600000,2000,CDM;CM,Right,1,3,3,5,2,915000,Ordinary,SUB,Good
K. Shirai,25,1/5/1994,165,63,Japan,Hokkaido Consadole Sapporo,65,67,650000,2000,LM;RM,Right,1,3,3,8,2,861000,Ordinary,RM,Good
M. Oxley,28,28/9/1990,190,73,England,Southend United,65,66,450000,2000,GK,Right,1,2,1,5,1,821000,Ordinary,GK,Second_Wind
C. Dikamona,29,23/6/1990,187,86,Congo,Heart of Midlothian,65,66,500000,2000,CB;RB,Right,1,3,2,5,2,913000,Strength,SUB,Injury_Prone;Long_Passer
M. Hernandez,27,5/3/1992,183,70,Guatemala,FC Dallas,65,66,525000,2000,LB,Left,1,3,2,5,1,827000,Ordinary,SUB,Good
J. Bendik,30,21/4/1989,191,98,United States,Philadelphia Union,65,66,425000,2000,GK,Left,1,3,1,5,1,669000,Ordinary,SUB,Good
N. Mezquida,27,21/2/1992,168,68,Uruguay,Colorado Rapids,65,66,625000,2000,CAM;ST;CM,Right,1,3,3,7,3,953000,Ordinary,SUB,Good
N. Devlin,25,17/10/1993,183,73,Scotland,Livingston FC,65,66,550000,2000,RB,Right,1,3,2,9,1,1000000,Engine,RB,Injury_Prone;Early_Crosser;Giant_Throw-in
J. Sternberg,26,19/10/1992,182,77,Germany,1. FC Kaiserslautern,65,66,550000,2000,LB;LM,Left,1,2,3,8,2,839000,Ordinary,RES,Diver
P. Breier,27,2/2/1992,185,77,Germany,FC Hansa Rostock,65,66,625000,2000,ST;RM,Right,1,3,3,8,2,953000,Ordinary,ST,Crowd_Favourite
J. Caprice,26,11/11/1992,179,73,England,Tranmere Rovers,65,66,550000,2000,RB,Right,1,4,2,8,1,1000000,Ordinary,SUB,Early_Crosser
S. Rodríguez,26,16/8/1992,179,79,Uruguay,Tiburones Rojos de Veracruz,65,66,625000,2000,CM;CDM,Right,1,3,2,6,2,1100000,Ordinary,RDM,Finesse_Shot
Bruno,25,16/3/1994,195,83,Brazil,Gil Vicente FC,65,66,450000,2000,GK,Right,1,3,1,5,1,956000,Ordinary,SUB,Second_Wind
J. Phojo,26,15/4/1993,178,71,France,Clermont Foot 63,65,66,550000,2000,RB,Right,1,3,2,6,1,1000000,Ordinary,RB,Good
G. Dequaire,28,11/7/1990,187,80,France,FC Chambly Oise,65,66,525000,2000,CB,Left,1,3,2,5,1,958000,Ordinary,LCB,Good
P. Sané,27,30/12/1991,187,84,Senegal,Rodez Aveyron Football,65,66,625000,2000,ST,Left,1,3,3,7,1,1100000,Ordinary,RS,Good
C. Irwin,30,1/4/1989,191,88,United States,Colorado Rapids,65,66,425000,2000,GK,Right,1,1,1,5,1,648000,Ordinary,SUB,Good
Luis Ruiz,27,30/6/1992,181,73,Spain,Deportivo de La Coruña,65,66,525000,2000,LB,Left,1,2,2,5,1,879000,Ordinary,SUB,Good
S. Abdul-Salaam,27,8/9/1991,193,84,United States,Seattle Sounders FC,65,66,525000,2000,RB;LB,Right,1,3,2,6,2,827000,Ordinary,SUB,Inflexible
Pablo,26,18/12/1992,175,67,Brazil,Santa Clara,65,66,625000,2000,RW,Right,1,3,3,4,1,1400000,Ordinary,RES,Good
J. Hopcutt,27,23/6/1992,180,74,England,Östersunds FK,65,66,625000,2000,CF;ST;CAM,Right,1,3,3,8,3,828000,Ordinary,LW,Argues_with_Officials;Crowd_Favourite
F. Herbers,25,17/8/1993,183,75,Germany,Chicago Fire,65,66,650000,2000,RM;ST,Right,1,3,3,8,2,1000000,Ordinary,RM,Good
O. Gnjatic,27,16/10/1991,190,81,Bosnia Herzegovina,Korona Kielce,65,66,550000,2000,CDM,Right,1,2,2,6,1,784000,Ordinary,LDM,Good
A. Dej,27,6/2/1992,174,74,Poland,Viktoria Köln,65,66,600000,2000,CM;CDM,Right,1,4,2,8,2,915000,Ordinary,SUB,Good
P. Sohm,27,2/11/1991,186,77,Germany,Hallescher FC,65,66,625000,2000,ST;LM;RM,Right,1,3,2,9,3,953000,Ordinary,RS,Good
M. Dombrowka,27,24/3/1992,180,77,Germany,SpVgg Unterhaching,65,66,525000,2000,LB;CDM,Right,1,4,3,5,2,801000,Ordinary,SUB,Good
K. Nakamura,26,30/6/1993,178,73,Japan,Shimizu S-Pulse,65,66,625000,2000,LW;CAM;RW,Right,1,4,3,8,3,828000,Ordinary,SUB,Good
F. Ourega,26,7/12/1992,178,65,France,FC Sochaux-Montbéliard,65,66,625000,2000,RM;LM,Right,1,2,3,5,2,1100000,Ordinary,LM,Selfish;Early_Crosser
S. Finley,26,4/8/1992,170,68,England,Accrington Stanley,65,66,625000,2000,CM;CAM,Left,1,3,2,5,2,1100000,Ordinary,LCM,Leadership
T. Ishihara,26,17/12/1992,172,67,Japan,Vegalta Sendai,65,66,625000,2000,LM;CAM,Right,1,3,3,5,2,828000,Ordinary,SUB,Good
R. Fuenzalida,26,23/11/1992,163,63,Chile,Audax Italiano,65,66,625000,2000,RM;RW,Right,1,3,2,9,2,891000,Speedster,SUB,Good
P. Bardy,26,27/8/1992,182,71,France,Rodez Aveyron Football,65,66,550000,2000,CB,Right,1,3,2,5,1,1000000,Ordinary,CB,Good
D. Stipica,28,30/5/1991,189,79,Croatia,Pogon Szczecin,65,66,450000,2000,GK,Right,1,2,1,5,1,641000,Ordinary,GK,Avoids_Using_Weaker_Foot
P. Brozek,36,21/4/1983,180,79,Poland,Wisla Kraków,65,65,190000,2000,ST,Right,1,4,2,4,1,257000,Ordinary,ST,Power_Free-Kick;Giant_Throw-in
C. Frasinescu,34,10/2/1985,189,84,Romania,Politehnica Iasi,65,65,200000,2000,CB,Right,1,3,2,5,1,270000,Ordinary,RCB,Good
F. Mader,36,14/9/1982,180,76,Austria,WSG Tirol,65,65,170000,2000,CM;CDM,Left,1,4,2,5,2,247000,Ordinary,SUB,Leadership;Finesse_Shot
P. Nymann,36,22/8/1982,179,75,Denmark,AC Horsens,65,65,180000,2000,RM;RB,Right,1,3,2,5,2,225000,Ordinary,RB,Good
T. Cerný,34,10/4/1985,184,83,Czech Republic,Aberdeen,65,65,240000,2000,GK,Left,1,1,1,5,1,420000,Ordinary,SUB,Good
A. El-Abd,34,11/9/1984,180,88,Egypt,Wycombe Wanderers,65,65,200000,2000,CB,Right,1,3,2,2,1,350000,Ordinary,RCB,Giant_Throw-in
A. Akinfenwa,37,10/5/1982,178,110,England,Wycombe Wanderers,65,65,190000,2000,ST,Right,1,3,2,1,1,333000,Strength,ST,Diver;Long_Passer
